PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S,age_cat
1,0,3,22.0,1,0,7.25,1,0,1,2
2,1,1,38.0,1,0,71.2833,0,0,0,5
3,1,3,26.0,0,0,7.925,0,0,1,3
4,1,1,35.0,1,0,53.1,0,0,1,4
5,0,3,35.0,0,0,8.05,1,0,1,4
6,0,3,28.0,0,0,8.4583,1,1,0,3
7,0,1,54.0,0,0,51.8625,1,0,1,6
9,1,3,27.0,0,2,11.1333,0,0,1,3
12,1,1,58.0,0,0,26.55,0,0,1,6
13,0,3,20.0,0,0,8.05,1,0,1,1
14,0,3,39.0,1,5,31.275,1,0,1,5
16,1,2,55.0,0,0,16.0,0,0,1,6
18,1,2,28.0,0,0,13.0,1,0,1,3
19,0,3,31.0,1,0,18.0,0,0,1,4
20,1,3,28.0,0,0,7.225,0,0,0,3
21,0,2,35.0,0,0,26.0,1,0,1,4
22,1,2,34.0,0,0,13.0,1,0,1,4
24,1,1,28.0,0,0,35.5,1,0,1,3
26,1,3,38.0,1,5,31.3875,0,0,1,5
27,0,3,28.0,0,0,7.225,1,0,0,3
28,0,1,19.0,3,2,263.0,1,0,1,1
29,1,3,28.0,0,0,7.8792,0,1,0,3
30,0,3,28.0,0,0,7.8958,1,0,1,3
31,0,1,40.0,0,0,27.7208,1,0,0,5
32,1,1,28.0,1,0,146.5208,0,0,0,3
33,1,3,28.0,0,0,7.75,0,1,0,3
34,0,2,66.0,0,0,10.5,1,0,1,6
35,0,1,28.0,1,0,82.1708,1,0,0,3
36,0,1,42.0,1,0,52.0,1,0,1,6
37,1,3,28.0,0,0,7.2292,1,0,0,3
38,0,3,21.0,0,0,8.05,1,0,1,2
39,0,3,18.0,2,0,18.0,0,0,1,1
41,0,3,40.0,1,0,9.475,0,0,1,5
42,0,2,27.0,1,0,21.0,0,0,1,3
43,0,3,28.0,0,0,7.8958,1,0,0,3
45,1,3,19.0,0,0,7.8792,0,1,0,1
46,0,3,28.0,0,0,8.05,1,0,1,3
47,0,3,28.0,1,0,15.5,1,1,0,3
48,1,3,28.0,0,0,7.75,0,1,0,3
49,0,3,28.0,2,0,21.6792,1,0,0,3
50,0,3,18.0,1,0,17.8,0,0,1,1
52,0,3,21.0,0,0,7.8,1,0,1,2
53,1,1,49.0,1,0,76.7292,0,0,0,6
54,1,2,29.0,1,0,26.0,0,0,1,3
55,0,1,65.0,0,1,61.9792,1,0,0,6
56,1,1,28.0,0,0,35.5,1,0,1,3
57,1,2,21.0,0,0,10.5,0,0,1,2
58,0,3,28.5,0,0,7.2292,1,0,0,3
61,0,3,22.0,0,0,7.2292,1,0,0,2
62,1,1,38.0,0,0,80.0,0,0,0,5
63,0,1,45.0,1,0,83.475,1,0,1,6
65,0,1,28.0,0,0,27.7208,1,0,0,3
66,1,3,28.0,1,1,15.2458,1,0,0,3
67,1,2,29.0,0,0,10.5,0,0,1,3
68,0,3,19.0,0,0,8.1583,1,0,1,1
69,1,3,17.0,4,2,7.925,0,0,1,1
70,0,3,26.0,2,0,8.6625,1,0,1,3
71,0,2,32.0,0,0,10.5,1,0,1,4
72,0,3,16.0,5,2,46.9,0,0,1,1
73,0,2,21.0,0,0,73.5,1,0,1,2
74,0,3,26.0,1,0,14.4542,1,0,0,3
75,1,3,32.0,0,0,56.4958,1,0,1,4
76,0,3,25.0,0,0,7.65,1,0,1,2
77,0,3,28.0,0,0,7.8958,1,0,1,3
78,0,3,28.0,0,0,8.05,1,0,1,3
80,1,3,30.0,0,0,12.475,0,0,1,3
81,0,3,22.0,0,0,9.0,1,0,1,2
82,1,3,29.0,0,0,9.5,1,0,1,3
83,1,3,28.0,0,0,7.7875,0,1,0,3
84,0,1,28.0,0,0,47.1,1,0,1,3
85,1,2,17.0,0,0,10.5,0,0,1,1
86,1,3,33.0,3,0,15.85,0,0,1,4
87,0,3,16.0,1,3,34.375,1,0,1,1
88,0,3,28.0,0,0,8.05,1,0,1,3
89,1,1,23.0,3,2,263.0,0,0,1,2
90,0,3,24.0,0,0,8.05,1,0,1,2
91,0,3,29.0,0,0,8.05,1,0,1,3
92,0,3,20.0,0,0,7.8542,1,0,1,1
93,0,1,46.0,1,0,61.175,1,0,1,6
94,0,3,26.0,1,2,20.575,1,0,1,3
95,0,3,59.0,0,0,7.25,1,0,1,6
96,0,3,28.0,0,0,8.05,1,0,1,3
97,0,1,71.0,0,0,34.6542,1,0,0,6
98,1,1,23.0,0,1,63.3583,1,0,0,2
99,1,2,34.0,0,1,23.0,0,0,1,4
100,0,2,34.0,1,0,26.0,1,0,1,4
101,0,3,28.0,0,0,7.8958,0,0,1,3
102,0,3,28.0,0,0,7.8958,1,0,1,3
103,0,1,21.0,0,1,77.2875,1,0,1,2
104,0,3,33.0,0,0,8.6542,1,0,1,4
105,0,3,37.0,2,0,7.925,1,0,1,5
106,0,3,28.0,0,0,7.8958,1,0,1,3
107,1,3,21.0,0,0,7.65,0,0,1,2
108,1,3,28.0,0,0,7.775,1,0,1,3
109,0,3,38.0,0,0,7.8958,1,0,1,5
110,1,3,28.0,1,0,24.15,0,1,0,3
111,0,1,47.0,0,0,52.0,1,0,1,6
113,0,3,22.0,0,0,8.05,1,0,1,2
114,0,3,20.0,1,0,9.825,0,0,1,1
115,0,3,17.0,0,0,14.4583,0,0,0,1
116,0,3,21.0,0,0,7.925,1,0,1,2
117,0,3,70.5,0,0,7.75,1,1,0,6
118,0,2,29.0,1,0,21.0,1,0,1,3
119,0,1,24.0,0,1,247.5208,1,0,0,2
121,0,2,21.0,2,0,73.5,1,0,1,2
122,0,3,28.0,0,0,8.05,1,0,1,3
123,0,2,32.5,1,0,30.0708,1,0,0,4
124,1,2,32.5,0,0,13.0,0,0,1,4
125,0,1,54.0,0,1,77.2875,1,0,1,6
127,0,3,28.0,0,0,7.75,1,1,0,3
128,1,3,24.0,0,0,7.1417,1,0,1,2
129,1,3,28.0,1,1,22.3583,0,0,0,3
130,0,3,45.0,0,0,6.975,1,0,1,6
131,0,3,33.0,0,0,7.8958,1,0,0,4
132,0,3,20.0,0,0,7.05,1,0,1,1
133,0,3,47.0,1,0,14.5,0,0,1,6
134,1,2,29.0,1,0,26.0,0,0,1,3
135,0,2,25.0,0,0,13.0,1,0,1,2
136,0,2,23.0,0,0,15.0458,1,0,0,2
137,1,1,19.0,0,2,26.2833,0,0,1,1
138,0,1,37.0,1,0,53.1,1,0,1,5
139,0,3,16.0,0,0,9.2167,1,0,1,1
140,0,1,24.0,0,0,79.2,1,0,0,2
141,0,3,28.0,0,2,15.2458,0,0,0,3
142,1,3,22.0,0,0,7.75,0,0,1,2
143,1,3,24.0,1,0,15.85,0,0,1,2
144,0,3,19.0,0,0,6.75,1,1,0,1
145,0,2,18.0,0,0,11.5,1,0,1,1
146,0,2,19.0,1,1,36.75,1,0,1,1
147,1,3,27.0,0,0,7.7958,1,0,1,3
149,0,2,36.5,0,2,26.0,1,0,1,5
150,0,2,42.0,0,0,13.0,1,0,1,6
151,0,2,51.0,0,0,12.525,1,0,1,6
152,1,1,22.0,1,0,66.6,0,0,1,2
153,0,3,55.5,0,0,8.05,1,0,1,6
154,0,3,40.5,0,2,14.5,1,0,1,6
155,0,3,28.0,0,0,7.3125,1,0,1,3
156,0,1,51.0,0,1,61.3792,1,0,0,6
157,1,3,16.0,0,0,7.7333,0,1,0,1
158,0,3,30.0,0,0,8.05,1,0,1,3
159,0,3,28.0,0,0,8.6625,1,0,1,3
160,0,3,28.0,8,2,69.55,1,0,1,3
161,0,3,44.0,0,1,16.1,1,0,1,6
162,1,2,40.0,0,0,15.75,0,0,1,5
163,0,3,26.0,0,0,7.775,1,0,1,3
164,0,3,17.0,0,0,8.6625,1,0,1,1
167,1,1,28.0,0,1,55.0,0,0,1,3
168,0,3,45.0,1,4,27.9,0,0,1,6
169,0,1,28.0,0,0,25.925,1,0,1,3
170,0,3,28.0,0,0,56.4958,1,0,1,3
171,0,1,61.0,0,0,33.5,1,0,1,6
174,0,3,21.0,0,0,7.925,1,0,1,2
175,0,1,56.0,0,0,30.6958,1,0,0,6
176,0,3,18.0,1,1,7.8542,1,0,1,1
177,0,3,28.0,3,1,25.4667,1,0,1,3
178,0,1,50.0,0,0,28.7125,0,0,0,6
179,0,2,30.0,0,0,13.0,1,0,1,3
180,0,3,36.0,0,0,0.0,1,0,1,5
181,0,3,28.0,8,2,69.55,0,0,1,3
182,0,2,28.0,0,0,15.05,1,0,0,3
186,0,1,28.0,0,0,50.0,1,0,1,3
187,1,3,28.0,1,0,15.5,0,1,0,3
188,1,1,45.0,0,0,26.55,1,0,1,6
189,0,3,40.0,1,1,15.5,1,1,0,5
190,0,3,36.0,0,0,7.8958,1,0,1,5
191,1,2,32.0,0,0,13.0,0,0,1,4
192,0,2,19.0,0,0,13.0,1,0,1,1
193,1,3,19.0,1,0,7.8542,0,0,1,1
195,1,1,44.0,0,0,27.7208,0,0,0,6
196,1,1,58.0,0,0,146.5208,0,0,0,6
197,0,3,28.0,0,0,7.75,1,1,0,3
198,0,3,42.0,0,1,8.4042,1,0,1,6
199,1,3,28.0,0,0,7.75,0,1,0,3
200,0,2,24.0,0,0,13.0,0,0,1,2
201,0,3,28.0,0,0,9.5,1,0,1,3
202,0,3,28.0,8,2,69.55,1,0,1,3
203,0,3,34.0,0,0,6.4958,1,0,1,4
204,0,3,45.5,0,0,7.225,1,0,0,6
205,1,3,18.0,0,0,8.05,1,0,1,1
207,0,3,32.0,1,0,15.85,1,0,1,4
208,1,3,26.0,0,0,18.7875,1,0,0,3
209,1,3,16.0,0,0,7.75,0,1,0,1
210,1,1,40.0,0,0,31.0,1,0,0,5
211,0,3,24.0,0,0,7.05,1,0,1,2
212,1,2,35.0,0,0,21.0,0,0,1,4
213,0,3,22.0,0,0,7.25,1,0,1,2
214,0,2,30.0,0,0,13.0,1,0,1,3
215,0,3,28.0,1,0,7.75,1,1,0,3
216,1,1,31.0,1,0,113.275,0,0,0,4
217,1,3,27.0,0,0,7.925,0,0,1,3
218,0,2,42.0,1,0,27.0,1,0,1,6
219,1,1,32.0,0,0,76.2917,0,0,0,4
220,0,2,30.0,0,0,10.5,1,0,1,3
221,1,3,16.0,0,0,8.05,1,0,1,1
222,0,2,27.0,0,0,13.0,1,0,1,3
223,0,3,51.0,0,0,8.05,1,0,1,6
224,0,3,28.0,0,0,7.8958,1,0,1,3
225,1,1,38.0,1,0,90.0,1,0,1,5
226,0,3,22.0,0,0,9.35,1,0,1,2
227,1,2,19.0,0,0,10.5,1,0,1,1
228,0,3,20.5,0,0,7.25,1,0,1,2
229,0,2,18.0,0,0,13.0,1,0,1,1
230,0,3,28.0,3,1,25.4667,0,0,1,3
231,1,1,35.0,1,0,83.475,0,0,1,4
232,0,3,29.0,0,0,7.775,1,0,1,3
233,0,2,59.0,0,0,13.5,1,0,1,6
235,0,2,24.0,0,0,10.5,1,0,1,2
236,0,3,28.0,0,0,7.55,0,0,1,3
237,0,2,44.0,1,0,26.0,1,0,1,6
239,0,2,19.0,0,0,10.5,1,0,1,1
240,0,2,33.0,0,0,12.275,1,0,1,4
241,0,3,28.0,1,0,14.4542,0,0,0,3
242,1,3,28.0,1,0,15.5,0,1,0,3
243,0,2,29.0,0,0,10.5,1,0,1,3
244,0,3,22.0,0,0,7.125,1,0,1,2
245,0,3,30.0,0,0,7.225,1,0,0,3
246,0,1,44.0,2,0,90.0,1,1,0,6
247,0,3,25.0,0,0,7.775,0,0,1,2
248,1,2,24.0,0,2,14.5,0,0,1,2
249,1,1,37.0,1,1,52.5542,1,0,1,5
250,0,2,54.0,1,0,26.0,1,0,1,6
251,0,3,28.0,0,0,7.25,1,0,1,3
252,0,3,29.0,1,1,10.4625,0,0,1,3
253,0,1,62.0,0,0,26.55,1,0,1,6
254,0,3,30.0,1,0,16.1,1,0,1,3
255,0,3,41.0,0,2,20.2125,0,0,1,6
256,1,3,29.0,0,2,15.2458,0,0,0,3
257,1,1,28.0,0,0,79.2,0,0,0,3
258,1,1,30.0,0,0,86.5,0,0,1,3
259,1,1,35.0,0,0,512.3292,0,0,0,4
260,1,2,50.0,0,1,26.0,0,0,1,6
261,0,3,28.0,0,0,7.75,1,1,0,3
263,0,1,52.0,1,1,79.65,1,0,1,6
264,0,1,40.0,0,0,0.0,1,0,1,5
265,0,3,28.0,0,0,7.75,0,1,0,3
266,0,2,36.0,0,0,10.5,1,0,1,5
267,0,3,16.0,4,1,39.6875,1,0,1,1
268,1,3,25.0,1,0,7.775,1,0,1,2
269,1,1,58.0,0,1,153.4625,0,0,1,6
270,1,1,35.0,0,0,135.6333,0,0,1,4
271,0,1,28.0,0,0,31.0,1,0,1,3
272,1,3,25.0,0,0,0.0,1,0,1,2
273,1,2,41.0,0,1,19.5,0,0,1,6
274,0,1,37.0,0,1,29.7,1,0,0,5
275,1,3,28.0,0,0,7.75,0,1,0,3
276,1,1,63.0,1,0,77.9583,0,0,1,6
277,0,3,45.0,0,0,7.75,0,0,1,6
278,0,2,28.0,0,0,0.0,1,0,1,3
280,1,3,35.0,1,1,20.25,0,0,1,4
281,0,3,65.0,0,0,7.75,1,1,0,6
282,0,3,28.0,0,0,7.8542,1,0,1,3
283,0,3,16.0,0,0,9.5,1,0,1,1
284,1,3,19.0,0,0,8.05,1,0,1,1
285,0,1,28.0,0,0,26.0,1,0,1,3
286,0,3,33.0,0,0,8.6625,1,0,0,4
287,1,3,30.0,0,0,9.5,1,0,1,3
288,0,3,22.0,0,0,7.8958,1,0,1,2
289,1,2,42.0,0,0,13.0,1,0,1,6
290,1,3,22.0,0,0,7.75,0,1,0,2
291,1,1,26.0,0,0,78.85,0,0,1,3
292,1,1,19.0,1,0,91.0792,0,0,0,1
293,0,2,36.0,0,0,12.875,1,0,0,5
294,0,3,24.0,0,0,8.85,0,0,1,2
295,0,3,24.0,0,0,7.8958,1,0,1,2
296,0,1,28.0,0,0,27.7208,1,0,0,3
297,0,3,23.5,0,0,7.2292,1,0,0,2
299,1,1,28.0,0,0,30.5,1,0,1,3
300,1,1,50.0,0,1,247.5208,0,0,0,6
301,1,3,28.0,0,0,7.75,0,1,0,3
302,1,3,28.0,2,0,23.25,1,1,0,3
303,0,3,19.0,0,0,0.0,1,0,1,1
304,1,2,28.0,0,0,12.35,0,1,0,3
305,0,3,28.0,0,0,8.05,1,0,1,3
307,1,1,28.0,0,0,110.8833,0,0,0,3
308,1,1,17.0,1,0,108.9,0,0,0,1
309,0,2,30.0,1,0,24.0,1,0,0,3
310,1,1,30.0,0,0,56.9292,0,0,0,3
311,1,1,24.0,0,0,83.1583,0,0,0,2
312,1,1,18.0,2,2,262.375,0,0,0,1
313,0,2,26.0,1,1,26.0,0,0,1,3
314,0,3,28.0,0,0,7.8958,1,0,1,3
315,0,2,43.0,1,1,26.25,1,0,1,6
316,1,3,26.0,0,0,7.8542,0,0,1,3
317,1,2,24.0,1,0,26.0,0,0,1,2
318,0,2,54.0,0,0,14.0,1,0,1,6
319,1,1,31.0,0,2,164.8667,0,0,1,4
320,1,1,40.0,1,1,134.5,0,0,0,5
321,0,3,22.0,0,0,7.25,1,0,1,2
322,0,3,27.0,0,0,7.8958,1,0,1,3
323,1,2,30.0,0,0,12.35,0,1,0,3
324,1,2,22.0,1,1,29.0,0,0,1,2
325,0,3,28.0,8,2,69.55,1,0,1,3
326,1,1,36.0,0,0,135.6333,0,0,0,5
327,0,3,61.0,0,0,6.2375,1,0,1,6
328,1,2,36.0,0,0,13.0,0,0,1,5
329,1,3,31.0,1,1,20.525,0,0,1,4
330,1,1,16.0,0,1,57.9792,0,0,0,1
331,1,3,28.0,2,0,23.25,0,1,0,3
332,0,1,45.5,0,0,28.5,1,0,1,6
333,0,1,38.0,0,1,153.4625,1,0,1,5
334,0,3,16.0,2,0,18.0,1,0,1,1
335,1,1,28.0,1,0,133.65,0,0,1,3
336,0,3,28.0,0,0,7.8958,1,0,1,3
337,0,1,29.0,1,0,66.6,1,0,1,3
338,1,1,41.0,0,0,134.5,0,0,0,6
339,1,3,45.0,0,0,8.05,1,0,1,6
340,0,1,45.0,0,0,35.5,1,0,1,6
342,1,1,24.0,3,2,263.0,0,0,1,2
343,0,2,28.0,0,0,13.0,1,0,1,3
344,0,2,25.0,0,0,13.0,1,0,1,2
345,0,2,36.0,0,0,13.0,1,0,1,5
346,1,2,24.0,0,0,13.0,0,0,1,2
347,1,2,40.0,0,0,13.0,0,0,1,5
348,1,3,28.0,1,0,16.1,0,0,1,3
350,0,3,42.0,0,0,8.6625,1,0,1,6
351,0,3,23.0,0,0,9.225,1,0,1,2
352,0,1,28.0,0,0,35.0,1,0,1,3
354,0,3,25.0,1,0,17.8,1,0,1,2
355,0,3,28.0,0,0,7.225,1,0,0,3
356,0,3,28.0,0,0,9.5,1,0,1,3
357,1,1,22.0,0,1,55.0,0,0,1,2
358,0,2,38.0,0,0,13.0,0,0,1,5
359,1,3,28.0,0,0,7.8792,0,1,0,3
360,1,3,28.0,0,0,7.8792,0,1,0,3
361,0,3,40.0,1,4,27.9,1,0,1,5
362,0,2,29.0,1,0,27.7208,1,0,0,3
363,0,3,45.0,0,1,14.4542,0,0,0,6
364,0,3,35.0,0,0,7.05,1,0,1,4
365,0,3,28.0,1,0,15.5,1,1,0,3
366,0,3,30.0,0,0,7.25,1,0,1,3
367,1,1,60.0,1,0,75.25,0,0,0,6
368,1,3,28.0,0,0,7.2292,0,0,0,3
369,1,3,28.0,0,0,7.75,0,1,0,3
370,1,1,24.0,0,0,69.3,0,0,0,2
371,1,1,25.0,1,0,55.4417,1,0,0,2
372,0,3,18.0,1,0,6.4958,1,0,1,1
373,0,3,19.0,0,0,8.05,1,0,1,1
374,0,1,22.0,0,0,135.6333,1,0,0,2
376,1,1,28.0,1,0,82.1708,0,0,0,3
377,1,3,22.0,0,0,7.25,0,0,1,2
378,0,1,27.0,0,2,211.5,1,0,0,3
379,0,3,20.0,0,0,4.0125,1,0,0,1
380,0,3,19.0,0,0,7.775,1,0,1,1
381,1,1,42.0,0,0,227.525,0,0,0,6
383,0,3,32.0,0,0,7.925,1,0,1,4
384,1,1,35.0,1,0,52.0,0,0,1,4
385,0,3,28.0,0,0,7.8958,1,0,1,3
386,0,2,18.0,0,0,73.5,1,0,1,1
388,1,2,36.0,0,0,13.0,0,0,1,5
389,0,3,28.0,0,0,7.7292,1,1,0,3
390,1,2,17.0,0,0,12.0,0,0,0,1
391,1,1,36.0,1,2,120.0,1,0,1,5
392,1,3,21.0,0,0,7.7958,1,0,1,2
393,0,3,28.0,2,0,7.925,1,0,1,3
394,1,1,23.0,1,0,113.275,0,0,0,2
395,1,3,24.0,0,2,16.7,0,0,1,2
396,0,3,22.0,0,0,7.7958,1,0,1,2
397,0,3,31.0,0,0,7.8542,0,0,1,4
398,0,2,46.0,0,0,26.0,1,0,1,6
399,0,2,23.0,0,0,10.5,1,0,1,2
400,1,2,28.0,0,0,12.65,0,0,1,3
401,1,3,39.0,0,0,7.925,1,0,1,5
402,0,3,26.0,0,0,8.05,1,0,1,3
403,0,3,21.0,1,0,9.825,0,0,1,2
404,0,3,28.0,1,0,15.85,1,0,1,3
405,0,3,20.0,0,0,8.6625,0,0,1,1
406,0,2,34.0,1,0,21.0,1,0,1,4
407,0,3,51.0,0,0,7.75,1,0,1,6
409,0,3,21.0,0,0,7.775,1,0,1,2
410,0,3,28.0,3,1,25.4667,0,0,1,3
411,0,3,28.0,0,0,7.8958,1,0,1,3
412,0,3,28.0,0,0,6.8583,1,1,0,3
413,1,1,33.0,1,0,90.0,0,1,0,4
414,0,2,28.0,0,0,0.0,1,0,1,3
415,1,3,44.0,0,0,7.925,1,0,1,6
416,0,3,28.0,0,0,8.05,0,0,1,3
417,1,2,34.0,1,1,32.5,0,0,1,4
418,1,2,18.0,0,2,13.0,0,0,1,1
419,0,2,30.0,0,0,13.0,1,0,1,3
421,0,3,28.0,0,0,7.8958,1,0,0,3
422,0,3,21.0,0,0,7.7333,1,1,0,2
423,0,3,29.0,0,0,7.875,1,0,1,3
424,0,3,28.0,1,1,14.4,0,0,1,3
425,0,3,18.0,1,1,20.2125,1,0,1,1
426,0,3,28.0,0,0,7.25,1,0,1,3
427,1,2,28.0,1,0,26.0,0,0,1,3
428,1,2,19.0,0,0,26.0,0,0,1,1
429,0,3,28.0,0,0,7.75,1,1,0,3
430,1,3,32.0,0,0,8.05,1,0,1,4
431,1,1,28.0,0,0,26.55,1,0,1,3
432,1,3,28.0,1,0,16.1,0,0,1,3
433,1,2,42.0,1,0,26.0,0,0,1,6
434,0,3,17.0,0,0,7.125,1,0,1,1
435,0,1,50.0,1,0,55.9,1,0,1,6
437,0,3,21.0,2,2,34.375,0,0,1,2
438,1,2,24.0,2,3,18.75,0,0,1,2
439,0,1,64.0,1,4,263.0,1,0,1,6
440,0,2,31.0,0,0,10.5,1,0,1,4
441,1,2,45.0,1,1,26.25,0,0,1,6
442,0,3,20.0,0,0,9.5,1,0,1,1
443,0,3,25.0,1,0,7.775,1,0,1,2
444,1,2,28.0,0,0,13.0,0,0,1,3
445,1,3,28.0,0,0,8.1125,1,0,1,3
448,1,1,34.0,0,0,26.55,1,0,1,4
